PROT1	PROT2	RANK_MAJOR	RANK_MINOR	TYPE	PDB_ID	BIO_UNIT	CHAIN1	MODEL1	SEQ_IDENT1	COVERAGE1	SEQ_BEGIN1	SEQ_END1	DOMAIN1	CHAIN2	MODEL2	SEQ_IDENT2	COVERAGE2	SEQ_BEGIN2	SEQ_END2	DOMAIN2	FILENAME	jobid	dvdw
A1L4K1	Q14324	1	0	Dom_dom_model	3mtr	-	B	-	15.4	10.5	378	460	fn3	A	-	22.2	6.9	1056	1134	I-set	A1L4K1-Q14324-MDD-fn3-I-set-3mtr-B-498-588-A-408-495.pdb	m14	-5.86816937
A1X283	A1X283	1	0	Model	1ov3	2	B	0	43.3	13.9	152	278	-	A	0	42.2	13.9	152	278	-	A1X283-A1X283-MDL-1ov3.pdb2-B-0-A-0.pdb	m15	-234.571485
A2RTX5	P26639	1	0	Model	4p3n	2	C	0	77.4	50.1	401	802	-	D	0	100.0	55.6	322	723	-	A2RTX5-P26639-MDL-4p3n.pdb2-C-0-D-0.pdb	m16	-212.141736
A2RTX5	Q9BW92	1	0	Model	4p3n	1	B	0	77.4	50.1	401	802	-	A	0	59.9	58.2	301	718	-	A2RTX5-Q9BW92-MDL-4p3n.pdb1-B-0-A-0.pdb	m17	-222.623686
A2RUH7	Q8IUH5	1	0	Dom_dom_model	5oyj	-	D	-	19.7	21.5	270	345	I-set	A	-	31.6	13.1	161	255	Ank_2	A2RUH7-Q8IUH5-MDD-I-set-Ank_2-5oyj-D-332-417-A-18-110.pdb	m18	-58.5218006
A4D1S5	P47224	1	0	Model	2fu5	1	D	0	41.4	77.9	14	182	-	A	0	90.4	92.7	10	123	-	A4D1S5-P47224-MDL-2fu5.pdb1-D-0-A-0.pdb	m19	-96.8248655
A4GXA9	Q96NY9	2	0	Model	4p0p	1	B	0	37.9	81.3	68	375	-	A	0	95.6	53.7	256	551	-	A4GXA9-Q96NY9-MDL-4p0p.pdb1-B-0-A-0.pdb	m20	-297.753081
A4GXA9	Q96NY9	3	0	Model	4p0q	1	B	0	37.9	81.3	68	375	-	A	0	96.3	53.7	256	551	-	A4GXA9-Q96NY9-MDL-4p0q.pdb1-B-0-A-0.pdb	m21	-295.772362
A4UGR9	P20929	1	0	Model	4f14	1	B	0	100.0	0.3	2245	2255	-	A	0	78.2	0.8	6615	6669	-	A4UGR9-P20929-MDL-4f14.pdb1-B-0-A-0.pdb	m22	-36.0811512
A5D8V6	Q99816	1	0	Dom_dom_model	2p22	-	C	-	16.8	40.6	6	149	Mod_r	A	-	38.1	16.2	317	379	Vps23_core	A5D8V6-Q99816-MDD-Mod_r-Vps23_core-2p22-C-57-202-A-316-379.pdb	m23	-72.8218064
A5X5Y0	P46098	1	0	Model	4pir	1	A	0	37.7	88.8	51	455	-	E	0	87.8	68.8	30	358	-	A5X5Y0-P46098-MDL-4pir.pdb1-A-0-E-0.pdb	m24	-243.848268
A5YKK6	Q9UFF9	1	0	Model	4gmj	1	A	0	100.0	9.5	1093	1317	-	B	0	78.4	90.4	10	273	-	A5YKK6-Q9UFF9-MDL-4gmj.pdb1-A-0-B-0.pdb	m25	-62.0534546
A6NEQ0	P38159	1	0	Dom_dom_model	2ek6	-	C	-	18.6	13.9	11	79	RRM_1	D	-	23.9	17.6	11	80	RRM_1	A6NEQ0-P38159-MDD-RRM_1-RRM_1-2ek6-C-16-86-D-16-86.pdb	m26	-75.8949026
A6NHT5	O95231	1	0	Model	3a03	2	A	1	61.5	14.6	234	285	-	A	0	46.2	20.2	98	149	-	A6NHT5-O95231-MDL-3a03.pdb2-A-1-A-0.pdb	m27	-7.47400982
A6NI15	P13349	1	0	Dom_dom_model	1mdy	-	A	-	32.7	26.9	125	178	HLH	B	-	86.8	20.4	84	135	HLH	A6NI15-P13349-MDD-HLH-HLH-1mdy-A-110-161-B-110-161.pdb	m28	-83.0664086
A6NI15	P15884	1	0	Model	2ql2	2	D	0	44.8	30.1	125	182	-	C	0	86.7	9.0	565	624	-	A6NI15-P15884-MDL-2ql2.pdb2-D-0-C-0.pdb	m29	-99.6333076
A6NI15	P41134	1	0	Dom_dom_model	4aya	-	A	-	21.4	20.2	138	178	HLH	B	-	79.5	25.2	68	106	HLH	A6NI15-P41134-MDD-HLH-HLH-4aya-A-35-76-B-36-76.pdb	m30	-76.6751258
A6NI15	Q02363	1	0	Dom_dom_model	4aya	-	B	-	22.0	19.7	139	178	HLH	A	-	100.0	29.9	37	76	HLH	A6NI15-Q02363-MDD-HLH-HLH-4aya-B-36-76-A-35-76.pdb	m31	-80.6673374
A6NI15	Q02535	1	0	Dom_dom_model	2lfh	-	A	-	26.2	20.2	138	178	HLH	B	-	100.0	33.6	42	81	HLH	A6NI15-Q02535-MDD-HLH-HLH-2lfh-A-25-66-B-25-66.pdb	m32	-73.2823686
A6NI15	Q99081	1	0	Model	2ql2	2	D	0	44.8	30.1	125	182	-	C	0	86.7	8.8	578	637	-	A6NI15-Q99081-MDL-2ql2.pdb2-D-0-C-0.pdb	m33	-100.764426
A6NIH7	P11488	1	0	Model	3rbq	6	F	0	69.8	72.5	68	249	-	L	0	100.0	2.6	2	10	-	A6NIH7-P11488-MDL-3rbq.pdb6-F-0-L-0.pdb	m34	-62.1848793
A6NIH7	Q7Z494	1	0	Model	5l7k	1	A	0	68.0	72.1	68	248	-	B	0	100.0	0.5	2	7	-	A6NIH7-Q7Z494-MDL-5l7k.pdb1-A-0-B-0.pdb	m35	-42.6623237
A6NJL1	O15156	1	0	Model	1p47	1	A	0	46.4	16.6	408	489	-	B	0	42.7	14.8	345	424	-	A6NJL1-O15156-MDL-1p47.pdb1-A-0-B-0.pdb	m36	-5.25456717
A6NLU0	A6NLU0	1	0	Model	2vok	1	B	0	45.0	55.4	96	254	-	A	0	45.0	55.4	96	254	-	A6NLU0-A6NLU0-MDL-2vok.pdb1-B-0-A-0.pdb	m37	-9.2689819
A6NLX3	Q00526	1	0	Model	5uq2	1	B	0	42.6	54.0	108	235	-	A	0	78.3	93.8	1	286	-	A6NLX3-Q00526-MDL-5uq2.pdb1-B-0-A-0.pdb	m38	-103.569243
A6NLX3	Q00535	1	0	Model	5uq2	1	B	0	42.6	54.0	108	235	-	A	0	59.9	100.0	1	292	-	A6NLX3-Q00535-MDL-5uq2.pdb1-B-0-A-0.pdb	m39	-91.633023
A6NMX2	Q13541	2	0	Model	5bxv	2	C	0	72.4	74.8	62	242	-	D	0	100.0	28.0	51	83	-	A6NMX2-Q13541-MDL-5bxv.pdb2-C-0-D-0.pdb	m40	-118.928298
A6NMX2	Q13541	3	0	Model	5bxv	1	A	0	74.7	70.2	62	231	-	B	0	100.0	29.7	50	84	-	A6NMX2-Q13541-MDL-5bxv.pdb1-A-0-B-0.pdb	m41	-125.653175
A6NNY8	Q9UPT9	1	0	Model	6crn	1	C	0	31.8	79.0	76	421	-	D	0	31.0	67.0	169	520	-	A6NNY8-Q9UPT9-MDL-6crn.pdb1-C-0-D-0.pdb	m42	-30.7196685
A6PVS8	O43639	1	0	Dom_dom_model	4cc4	-	C	-	25.0	5.4	73	109	LRR_4	D	-	23.5	11.6	203	248	SH3_1	A6PVS8-O43639-MDD-LRR_4-SH3_1-4cc4-C-162-207-D-1519-1568.pdb	m43	-15.399374
A7KAX9	O43639	1	0	Dom_dom_model	6gbu	-	A	-	23.6	2.3	266	317	SH3_9	C	-	36.5	12.6	118	165	SH3_9	A7KAX9-O43639-MDD-SH3_9-SH3_9-6gbu-A-8-59-C-8-59.pdb	m44	-16.5772017
A7KAX9	P60953	1	0	Dom_dom_model	1am4	-	C	-	27.3	7.0	386	534	RhoGAP	F	-	88.3	81.2	5	173	Ras	A7KAX9-P60953-MDD-RhoGAP-Ras-1am4-C-63-212-F-505-677.pdb	m45	-37.6418458
A7KAX9	Q9NYB9	1	0	Dom_dom_model	2d1x	-	A	-	34.6	2.3	266	317	SH3_9	B	-	53.1	9.6	458	506	SH3_9	A7KAX9-Q9NYB9-MDD-SH3_9-SH3_9-2d1x-A-10-58-B-10-58.pdb	m46	-20.0334328
A7MCY6	A7MCY6	1	0	Model	5z7l	1	D	0	56.8	6.0	39	75	-	C	0	56.8	6.0	39	75	-	A7MCY6-A7MCY6-MDL-5z7l.pdb1-D-0-C-0.pdb	m47	-70.6632783
A8MTQ0	O14770	2	0	Model	2r5z	1	A	0	42.2	25.5	153	216	-	B	0	49.0	10.7	283	333	-	A8MTQ0-O14770-MDL-2r5z.pdb1-A-0-B-0.pdb	m48	-5.82178687
A8MTQ0	O14770	3	0	Model	4xrs	2	I	0	48.1	21.5	160	213	-	B	0	100.0	12.2	283	340	-	A8MTQ0-O14770-MDL-4xrs.pdb2-I-0-B-0.pdb	m49	-14.7147095
A8MTQ0	Q12837	1	0	Dom_dom_model	4zn8	-	A	-	32.6	18.3	161	206	Homeodomain	B	-	22.7	10.8	352	395	Homeodomain	A8MTQ0-Q12837-MDD-Homeodomain-Homeodomain-4zn8-A-1-50-B-2-50.pdb	m50	-89.2119882
A8MTQ0	Q9BQY4	1	0	Model	3cmy	1	A	0	52.5	23.5	156	214	-	A	1	45.8	20.5	134	192	-	A8MTQ0-Q9BQY4-MDL-3cmy.pdb1-A-0-A-1.pdb	m51	-17.5137638
A8MTQ0	Q9BQY4	3	0	Model	3a01	1	A	0	49.2	25.1	152	214	-	B	0	51.0	17.7	141	191	-	A8MTQ0-Q9BQY4-MDL-3a01.pdb1-A-0-B-0.pdb	m52	-6.18624661
A8MTQ0	Q9H2Z4	1	0	Model	3a01	1	B	0	49.1	22.7	157	213	-	A	0	43.8	22.3	173	251	-	A8MTQ0-Q9H2Z4-MDL-3a01.pdb1-B-0-A-0.pdb	m53	-9.95540886
A8MV65	P28347	1	0	Dom_dom_model	4eaz	-	D	-	63.3	9.2	82	111	Vg_Tdu	A	-	79.6	48.1	215	423	YBD	A8MV65-P28347-MDD-Vg_Tdu-YBD-4eaz-D-21-50-A-215-424.pdb	m54	-99.2208177
A8MV65	Q15561	1	0	Dom_dom_model	4eaz	-	D	-	63.3	9.2	82	111	Vg_Tdu	A	-	92.4	47.5	222	431	YBD	A8MV65-Q15561-MDD-Vg_Tdu-YBD-4eaz-D-21-50-A-215-424.pdb	m55	-94.5470225
A8MV65	Q15562	1	0	Dom_dom_model	4eaz	-	D	-	63.3	9.2	82	111	Vg_Tdu	A	-	67.1	46.1	227	444	YBD	A8MV65-Q15562-MDD-Vg_Tdu-YBD-4eaz-D-21-50-A-215-424.pdb	m56	-105.892544
A8MV65	Q99594	1	0	Dom_dom_model	4eaz	-	D	-	63.3	9.2	82	111	Vg_Tdu	A	-	75.4	47.4	223	432	YBD	A8MV65-Q99594-MDD-Vg_Tdu-YBD-4eaz-D-21-50-A-215-424.pdb	m57	-95.3262978
A8MW92	P68431	1	0	Model	5tbn	1	A	0	75.5	4.8	680	728	-	C	0	100.0	8.1	2	12	-	A8MW92-P68431-MDL-5tbn.pdb1-A-0-C-0.pdb	m58	-25.3160327
A9QM74	Q14974	1	0	Model	1qgk	1	B	0	54.8	8.1	10	51	-	A	0	99.8	100.0	1	876	-	A9QM74-Q14974-MDL-1qgk.pdb1-B-0-A-0.pdb	m59	-102.155087
A9YTQ3	P27540	1	0	Model	5y7y	1	A	0	83.4	34.4	38	278	-	B	0	70.3	46.9	95	464	-	A9YTQ3-P27540-MDL-5y7y.pdb1-A-0-B-0.pdb	m60	-370.298108
A9YTQ3	P27540	2	0	Model	5nj8	1	A	0	50.6	34.7	35	277	-	B	0	66.7	33.1	85	345	-	A9YTQ3-P27540-MDL-5nj8.pdb1-A-0-B-0.pdb	m61	-367.724928
B2RNN3	P0C862	1	0	Model	1c3h	1	B	0	53.4	39.0	201	330	-	C	0	52.7	39.0	201	330	-	B2RNN3-P0C862-MDL-1c3h.pdb1-B-0-C-0.pdb	m62	-72.6656572
B2RNN3	Q15848	1	0	Model	1c3h	2	E	0	53.4	39.0	201	330	-	D	0	91.2	56.1	108	244	-	B2RNN3-Q15848-MDL-1c3h.pdb2-E-0-D-0.pdb	m63	-101.025581
B2RTY4	P60953	1	0	Model	5hpy	2	D	0	56.9	7.4	2074	2261	-	F	0	55.2	91.1	5	178	-	B2RTY4-P60953-MDL-5hpy.pdb2-D-0-F-0.pdb	m64	-80.4639168
B2RXF5	O15156	1	0	Model	2if5	1	A	1	39.3	26.5	3	114	-	A	0	54.9	24.7	9	141	-	B2RXF5-O15156-MDL-2if5.pdb1-A-1-A-0.pdb	m65	-142.847249
B2RXF5	O15156	3	0	Model	2nn2	2	A	0	37.7	27.0	1	114	-	B	0	54.9	24.7	9	141	-	B2RXF5-O15156-MDL-2nn2.pdb2-A-0-B-0.pdb	m66	-159.523309
B2RXF5	Q05516	1	0	Model	2q81	2	D	1	46.9	26.8	2	114	-	C	1	36.2	15.6	14	118	-	B2RXF5-Q05516-MDL-2q81.pdb2-D-1-C-1.pdb	m67	-116.219451
B2RXF5	Q05516	2	0	Model	3m52	1	B	0	47.4	27.0	1	114	-	A	0	36.2	15.6	14	118	-	B2RXF5-Q05516-MDL-3m52.pdb1-B-0-A-0.pdb	m68	-112.973485
B2RXH8	B2RXH8	1	0	Model	1txp	-	D	-	92.9	9.6	180	207	-	A	-	92.9	9.6	180	207	-	B2RXH8-B2RXH8-MDL-pdb1txp.ent-D-0-A-0.pdb	m69	-23.9259681
B2RXH8	O60812	1	0	Model	1txp	-	C	-	92.9	9.6	180	207	-	B	-	92.9	9.6	180	207	-	B2RXH8-O60812-MDL-pdb1txp.ent-C-0-B-0.pdb	m70	-26.0290105
B2RXH8	P07910	1	0	Model	1txp	-	C	-	92.9	9.6	180	207	-	D	-	96.4	9.2	193	220	-	B2RXH8-P07910-MDL-pdb1txp.ent-C-0-D-0.pdb	m71	-44.4400502
B7U540	P63252	1	0	Model	3sph	1	A	0	88.9	76.4	42	372	-	A	3	77.1	77.0	43	371	-	B7U540-P63252-MDL-3sph.pdb1-A-0-A-3.pdb	m72	-302.232961
D6RGH6	D6RGH6	3	0	Model	4bry	1	B	0	100.0	17.9	176	244	-	A	0	44.6	16.9	177	241	-	D6RGH6-D6RGH6-MDL-4bry.pdb1-B-0-A-0.pdb	m73	-125.009733
G2XKQ0	G2XKQ0	1	0	Model	1wm2	1	A	1	49.3	74.3	19	93	-	A	2	49.3	74.3	19	93	-	G2XKQ0-G2XKQ0-MDL-1wm2.pdb1-A-1-A-2.pdb	m74	-38.8893845
G2XKQ0	O75925	1	0	Dom_dom_model	5jne	-	G	-	46.4	66.3	24	90	Rad60-SLD	E	-	40.8	7.5	331	379	zf-MIZ	G2XKQ0-O75925-MDD-Rad60-SLD-zf-MIZ-5jne-G-22-92-E-357-406.pdb	m75	-18.5284967
G2XKQ0	O75928	1	0	Model	2asq	-	A	-	92.1	75.2	22	97	-	B	-	100.0	2.3	466	479	-	G2XKQ0-O75928-MDL-pdb2asq.ent-A-0-B-0.pdb	m76	-24.9484177
G2XKQ0	P63165	1	0	Model	1wm3	1	A	2	52.1	70.3	22	92	-	A	1	51.4	71.3	21	92	-	G2XKQ0-P63165-MDL-1wm3.pdb1-A-2-A-1.pdb	m77	-26.7510158
G2XKQ0	P63279	1	0	Model	2vrr	1	B	0	91.0	77.2	20	97	-	A	0	100.0	99.4	2	158	-	G2XKQ0-P63279-MDL-2vrr.pdb1-B-0-A-0.pdb	m78	-22.5968187
G2XKQ0	P78317	1	0	Model	2mp2	1	B	0	49.4	80.2	14	94	-	C	0	96.0	13.2	41	65	-	G2XKQ0-P78317-MDL-2mp2.pdb1-B-0-C-0.pdb	m79	-39.6411438
G2XKQ0	Q9P0U3	1	0	Model	2iy1	1	B	0	91.5	81.2	20	101	-	A	0	99.6	35.1	419	644	-	G2XKQ0-Q9P0U3-MDL-2iy1.pdb1-B-0-A-0.pdb	m80	-77.1486991
G2XKQ0	Q9UBT2	1	0	Model	3kyc	1	D	0	91.0	77.2	20	97	-	B	0	93.8	85.8	5	553	-	G2XKQ0-Q9UBT2-MDL-3kyc.pdb1-D-0-B-0.pdb	m81	-101.970512
G2XKQ0	Q9UBT2	2	0	Model	1y8r	2	F	0	88.1	83.2	14	97	-	E	0	93.8	85.5	4	550	-	G2XKQ0-Q9UBT2-MDL-1y8r.pdb2-F-0-E-0.pdb	m82	-62.4910801
G2XKQ0	Q9UER7	1	0	Model	2kqs	1	A	0	87.6	96.0	1	97	-	B	0	100.0	2.7	721	740	-	G2XKQ0-Q9UER7-MDL-2kqs.pdb1-A-0-B-0.pdb	m83	-35.2787603
O00139	O00139	1	0	Model	1v8k	2	A	1	68.2	51.3	193	554	-	A	3	68.2	51.3	193	554	-	O00139-O00139-MDL-1v8k.pdb2-A-1-A-3.pdb	m84	-61.6782488
O00141	O15530	1	0	Model	3nun	2	A	1	40.1	66.1	87	371	-	A	0	96.9	51.8	71	358	-	O00141-O15530-MDL-3nun.pdb2-A-1-A-0.pdb	m85	-103.242138
O00141	O15530	2	0	Model	3rwq	2	A	1	40.4	64.5	94	371	-	A	0	98.6	51.8	72	359	-	O00141-O15530-MDL-3rwq.pdb2-A-1-A-0.pdb	m86	-70.4847762
O00141	P08238	1	0	Dom_dom_model	5fwm	-	K	-	21.4	58.2	98	355	Pkinase	B	-	99.3	58.0	271	690	HSP90	O00141-P08238-MDD-Pkinase-HSP90-5fwm-K-6-295-B-217-691.pdb	m87	-72.8676501
O00141	Q13164	1	0	Dom_dom_model	2wnt	-	B	-	27.0	58.2	98	355	Pkinase	A	-	22.9	30.3	55	347	Pkinase	O00141-Q13164-MDD-Pkinase-Pkinase-2wnt-B-418-675-A-418-675.pdb	m88	-92.4571448
O00141	Q16543	1	0	Dom_dom_model	5fwm	-	K	-	21.4	58.2	98	355	Pkinase	E	-	88.1	27.5	2	110	CDC37_N	O00141-Q16543-MDD-Pkinase-CDC37_N-5fwm-K-6-295-E-2-164.pdb	m89	-69.9855189
O00141	Q86U10	1	0	Dom_dom_model	1bi8	-	C	-	23.0	45.5	155	355	Pkinase	D	-	26.3	13.8	406	495	Ank_2	O00141-Q86U10-MDD-Pkinase-Ank_2-1bi8-C-45-300-D-12-104.pdb	m90	-42.0878386
O00148	O00148	1	0	Model	1t6n	1	B	0	91.8	48.5	44	250	-	A	0	91.8	48.5	44	250	-	O00148-O00148-MDL-1t6n.pdb1-B-0-A-0.pdb	m91	-42.8145436
O00148	Q13838	1	0	Model	1t6n	1	B	0	91.8	48.5	44	250	-	A	0	100.0	48.4	45	251	-	O00148-Q13838-MDL-1t6n.pdb1-B-0-A-0.pdb	m92	-34.7873574
O00154	Q8WYK0	1	0	Model	2qq2	1	C	0	99.4	41.6	218	375	-	K	0	30.5	26.3	4	149	-	O00154-Q8WYK0-MDL-2qq2.pdb1-C-0-K-0.pdb	m93	-90.6657625
O00154	Q8WYK0	2	0	Model	2qq2	1	B	0	100.0	41.1	218	373	-	A	0	31.1	26.3	4	149	-	O00154-Q8WYK0-MDL-2qq2.pdb1-B-0-A-0.pdb	m94	-94.2637843
O00161	O75558	2	0	Model	1sfc	1	D	0	64.4	34.6	137	209	-	B	0	45.1	24.7	200	270	-	O00161-O75558-MDL-1sfc.pdb1-D-0-B-0.pdb	m95	-33.7999929
O00161	O75558	3	0	Model	3hd7	2	G	0	64.3	33.2	7	76	-	F	0	41.2	29.3	200	283	-	O00161-O75558-MDL-3hd7.pdb2-G-0-F-0.pdb	m96	-124.731832
O00161	O95183	1	0	Model	3hd7	1	C	0	64.3	33.2	7	76	-	A	0	42.7	70.7	6	87	-	O00161-O95183-MDL-3hd7.pdb1-C-0-A-0.pdb	m97	-16.7133753
O00161	P32856	1	0	Model	3hd7	2	G	0	64.3	33.2	7	76	-	F	0	67.0	33.7	187	283	-	O00161-P32856-MDL-3hd7.pdb2-G-0-F-0.pdb	m98	-118.898769
O00161	P51809	1	0	Model	3hd7	2	G	0	64.3	33.2	7	76	-	E	0	39.3	37.7	123	205	-	O00161-P51809-MDL-3hd7.pdb2-G-0-E-0.pdb	m99	-22.0666356
O00161	P54920	1	0	Model	6mdn	1	H	0	42.4	96.2	7	209	-	L	0	99.0	96.9	8	293	-	O00161-P54920-MDL-6mdn.pdb1-H-0-L-0.pdb	m100	-58.9737218
O00161	P61266	1	0	Model	3hd7	1	C	0	64.3	33.2	7	76	-	B	0	89.7	33.7	188	284	-	O00161-P61266-MDL-3hd7.pdb1-C-0-B-0.pdb	m101	-100.586257
O00161	Q12846	1	0	Model	3hd7	2	G	0	64.3	33.2	7	76	-	F	0	53.6	32.7	196	292	-	O00161-Q12846-MDL-3hd7.pdb2-G-0-F-0.pdb	m102	-112.990907
O00161	Q13277	1	0	Model	3hd7	2	G	0	64.3	33.2	7	76	-	F	0	67.0	33.6	187	283	-	O00161-Q13277-MDL-3hd7.pdb2-G-0-F-0.pdb	m103	-129.235181
O00161	Q15836	1	0	Model	1sfc	2	G	0	63.9	34.1	7	78	-	E	0	97.1	68.0	11	78	-	O00161-Q15836-MDL-1sfc.pdb2-G-0-E-0.pdb	m104	-20.7544555
O00161	Q15836	2	0	Model	1sfc	2	H	0	63.9	34.1	138	209	-	E	0	97.1	68.0	11	78	-	O00161-Q15836-MDL-1sfc.pdb2-H-0-E-0.pdb	m105	-112.248111
O00161	Q15836	3	0	Model	3hd7	1	C	0	64.3	33.2	7	76	-	A	0	91.8	72.0	10	81	-	O00161-Q15836-MDL-3hd7.pdb1-C-0-A-0.pdb	m106	-14.676008
O00161	Q16623	1	0	Model	3hd7	2	G	0	64.3	33.2	7	76	-	F	0	98.0	34.4	188	286	-	O00161-Q16623-MDL-3hd7.pdb2-G-0-F-0.pdb	m107	-118.389687
O00161	Q9H115	1	0	Model	6mdn	1	H	0	42.4	96.2	7	209	-	L	0	84.7	91.9	19	292	-	O00161-Q9H115-MDL-6mdn.pdb1-H-0-L-0.pdb	m108	-50.1654609
O00161	Q9Y2K9	1	0	Model	1urq	1	C	0	63.2	32.2	11	78	-	A	0	75.4	4.8	1122	1178	-	O00161-Q9Y2K9-MDL-1urq.pdb1-C-0-A-0.pdb	m109	-18.4063332
O00161	Q9Y2K9	2	0	Model	1urq	1	D	0	64.4	28.0	147	205	-	A	0	75.4	4.8	1122	1178	-	O00161-Q9Y2K9-MDL-1urq.pdb1-D-0-A-0.pdb	m110	-93.7659577
O00175	O00585	1	0	Model	2ra4	4	B	0	49.2	51.3	29	89	-	B	2	40.0	44.8	31	90	-	O00175-O00585-MDL-2ra4.pdb4-B-0-B-2.pdb	m111	-24.7645236
O00175	P13501	1	0	Model	2x6g	4	D	0	44.3	51.3	30	90	-	C	0	49.2	70.3	28	91	-	O00175-P13501-MDL-2x6g.pdb4-D-0-C-0.pdb	m112	-52.9859689
O00175	P13501	3	0	Model	5cmd	1	C	0	30.0	50.4	31	90	-	A	0	100.0	70.3	28	91	-	O00175-P13501-MDL-5cmd.pdb1-C-0-A-0.pdb	m113	-27.4878276
O00175	P47992	1	0	Model	2x6g	9	L	0	44.3	51.3	30	90	-	K	0	40.0	46.5	32	84	-	O00175-P47992-MDL-2x6g.pdb9-L-0-K-0.pdb	m114	-20.2718232
O00175	Q99616	1	0	Model	2ra4	2	A	2	49.2	51.3	29	89	-	A	0	100.0	66.3	26	90	-	O00175-Q99616-MDL-2ra4.pdb2-A-2-A-0.pdb	m115	-34.3631115
O00182	O00214	1	0	Model	6fof	1	D	0	42.5	39.7	211	351	-	C	0	40.0	43.2	16	152	-	O00182-O00214-MDL-6fof.pdb1-D-0-C-0.pdb	m116	-47.7688144
O00182	O00214	3	0	Model	2d6l	1	X	0	68.9	41.7	1	148	-	X	1	37.6	47.0	3	151	-	O00182-O00214-MDL-2d6l.pdb1-X-0-X-1.pdb	m117	-42.0368949
O00182	P17931	1	0	Model	6fof	1	E	0	41.4	38.6	215	351	-	D	0	100.0	60.0	101	250	-	O00182-P17931-MDL-6fof.pdb1-E-0-D-0.pdb	m118	-11.1724946
O00189	Q9Y6B7	1	0	Dom_dom_model	2jkr	-	M	-	23.6	57.2	176	453	Adap_comp_sub	B	-	30.0	67.3	12	522	Adaptin_N	O00189-Q9Y6B7-MDD-Adap_comp_sub-Adaptin_N-2jkr-M-159-435-B-12-534.pdb	m119	-87.7895563
O00194	Q8NFW9	1	0	Model	2zet	1	A	0	91.8	84.4	5	188	-	C	0	51.4	16.1	4	141	-	O00194-Q8NFW9-MDL-2zet.pdb1-A-0-C-0.pdb	m120	-163.521861
